ID,name,position,age,nationality,current_club,matches_played
f162,Arthur Atta,"MF,FW",22,fr FRA,Udinese,14
f163,Noah Atubolu,GK,22,de GER,Freiburg,18
f164,Emil Audero,GK,28,it ITA,Como,8
f165,Tommaso Augello,"DF,FW",30,it ITA,Cagliari,24
f166,Carlos Augusto,"DF,FW",26,br BRA,Inter,17
f167,Yann Aurel Bisseck,DF,24,de GER,Inter,15
f168,Brandon Austin,GK,26,eng ENG,Tottenham,1
f169,Ezequiel Ávila,FW,31,ar ARG,Betis,15
f170,Taiwo Awoniyi,FW,27,ng NGA,Nott'ham Forest,19
f171,Yasin Ayari,MF,21,se SWE,Brighton,21
f172,Florian Ayé,FW,28,fr FRA,Auxerre,17
f173,André Ayew,FW,35,gh GHA,Le Havre,14
f174,Jordan Ayew,"FW,MF",33,gh GHA,Crystal Palace,1
f175,Jordan Ayew,"FW,MF",33,gh GHA,Leicester City,21
f176,Neil El Aynaoui,MF,23,fr FRA,Lens,12
f177,Ayman Azhil,MF,23,ma MAR,Dortmund,1
f178,Adam Aznou,DF,18,ma MAR,Valladolid,1
f179,Adam Aznou,DF,18,ma MAR,Bayern Munich,2
f180,César Azpilicueta,DF,35,es ESP,Atlético Madrid,7
f181,Paulo Azzi,DF,30,br BRA,Cagliari,6
f182,Oussama El Azzouzi,MF,23,ma MAR,Bologna,1
f183,Papa Ba,MF,20,es ESP,Girona,1
f184,Shavy Babicka,"MF,FW",24,ga GAB,Toulouse,20
f185,Jacopo Bacci,MF,19,it ITA,Empoli,2
f186,Aliou Badara Baldé,"MF,FW",22,gn GUI,Bochum,5
f187,Loïc Bade,DF,24,fr FRA,Sevilla,19
f188,Milan Badelj,MF,35,hr CRO,Genoa,20
f189,Benoît Badiashile,DF,23,fr FRA,Chelsea,4
f190,Alex Baena,"MF,FW",23,es ESP,Villarreal,21
f191,Juma Bah,DF,18,sl SLE,Valladolid,12
f192,Juma Bah,DF,18,sl SLE,Lens,1
f193,Leon Bailey,"FW,MF",27,jm JAM,Aston Villa,20
f194,Eric Bailly,DF,30,ci CIV,Villarreal,10
f195,Theo Bair,FW,25,ca CAN,Auxerre,19
f196,Stefan Bajcetic,MF,20,es ESP,Las Palmas,2
f197,Cédric Bakambu,FW,33,cd COD,Betis,14
f198,Mitchel Bakker,MF,24,nl NED,Atalanta,1
f199,Mitchel Bakker,"DF,FW",24,nl NED,Lille,14
f200,Darryl Bakola,DF,17,fr FRA,Marseille,1
f201,Ridle Baku,"FW,MF",26,de GER,Wolfsburg,15
f202,Ridle Baku,DF,26,de GER,RB Leipzig,7
f203,Dilane Bakwa,"MF,FW",22,fr FRA,Strasbourg,18
f204,Tommaso Baldanzi,"MF,FW",21,it ITA,Roma,18
f205,Alejandro Balde,DF,21,es ESP,Barcelona,21
f206,Carlos Baleba,MF,21,cm CMR,Brighton,21
f207,Leonardo Balerdi,DF,26,ar ARG,Marseille,18
f208,Iván Balliu,DF,33,al ALB,Rayo Vallecano,17
f209,Fodé Ballo-Touré,DF,28,sn SEN,Le Havre,1
f210,Botond Balogh,DF,22,hu HUN,Parma,20
f211,Folarin Balogun,FW,23,us USA,Monaco,7
f212,Mario Balotelli,"FW,MF",34,it ITA,Genoa,6
f213,Abdoulaye Bamba,DF,34,ci CIV,Angers,10
f214,Jonathan Bamba,"FW,MF",28,ci CIV,Celta Vigo,12
f215,Mohamed Bamba,MF,20,ci CIV,Reims,2
f216,Samuel Bamba,"FW,MF",21,de GER,Bochum,3
f217,Lameck Banda,"FW,MF",24,zm ZAM,Lecce,10
f218,Daniel Bandeira,MF,24,pt POR,Hellas Verona,11
f219,Mattia Bani,DF,31,it ITA,Genoa,14
f220,Noahkai Banks,DF,18,us USA,Augsburg,6
f221,Scott Banks,"FW,MF",23,sct SCO,St. Pauli,10
f222,Adrian Baquerin,FW,17,es ESP,Valladolid,1
f223,Antonín Barák,MF,30,cz CZE,Fiorentina,1
f224,Federico Barba,DF,31,it ITA,Como,7
