ID,name,position,age,nationality,market_value
t884,Alex Scott,Central Midfield,21,England,€20.00m
t885,Javi Guerra,Central Midfield,21,Spain,€20.00m
t886,Ange-Yoan Bonny,Centre-Forward,21,France,€20.00m
t887,Dango Ouattara,Left Winger,23,Burkina Faso,€20.00m
t888,Vanderson,Right-Back,23,Brazil,€20.00m
t889,Rodrigo Muniz,Centre-Forward,23,Brazil,€20.00m
t890,Jacob Greaves,Centre-Back,24,England,€20.00m
t891,Johnny Cardoso,Defensive Midfield,23,United States,€20.00m
t892,Marcos Leonardo,Centre-Forward,21,Brazil,€20.00m
t893,Orri Óskarsson,Centre-Forward,20,Iceland,€20.00m
t894,El Bilal Touré,Centre-Forward,23,Mali,€20.00m
t895,Keane Lewis-Potter,Left Winger,24,England,€20.00m
t896,Beñat Prados,Central Midfield,24,Spain,€20.00m
t897,Conor Bradley,Right-Back,21,Northern Ireland,€20.00m
t898,Matteo Ruggeri,Left Midfield,22,Italy,€20.00m
t899,Ander Barrenetxea,Left Winger,23,Spain,€20.00m
t900,Toti,Centre-Back,26,Portugal,€20.00m
t901,Raheem Sterling,Right Winger,30,England,€22.00m
t902,Antoine Griezmann,Centre-Forward,33,France,€22.00m
t903,Nico Paz,Attacking Midfield,20,Argentina,€20.00m
t904,Vitor Roque,Centre-Forward,20,Brazil,€20.00m
t905,Patrick Dorgu,Left-Back,20,Denmark,€20.00m
t906,Jeanuël Belocian,Centre-Back,20,France,€20.00m
t907,Lamine Camara,Central Midfield,21,Senegal,€20.00m
t908,Habib Diarra,Central Midfield,21,Senegal,€20.00m
t909,Alex Scott,Central Midfield,21,England,€20.00m
t910,Javi Guerra,Central Midfield,21,Spain,€20.00m
t911,Ange-Yoan Bonny,Centre-Forward,21,France,€20.00m
t912,Dango Ouattara,Left Winger,23,Burkina Faso,€20.00m
t913,Vanderson,Right-Back,23,Brazil,€20.00m
t914,Rodrigo Muniz,Centre-Forward,23,Brazil,€20.00m
t915,Jacob Greaves,Centre-Back,24,England,€20.00m
t916,Johnny Cardoso,Defensive Midfield,23,United States,€20.00m
t917,Marcos Leonardo,Centre-Forward,21,Brazil,€20.00m
t918,Orri Óskarsson,Centre-Forward,20,Iceland,€20.00m
t919,El Bilal Touré,Centre-Forward,23,Mali,€20.00m
t920,Keane Lewis-Potter,Left Winger,24,England,€20.00m
t921,Beñat Prados,Central Midfield,24,Spain,€20.00m
t922,Conor Bradley,Right-Back,21,Northern Ireland,€20.00m
t923,Matteo Ruggeri,Left Midfield,22,Italy,€20.00m
t924,Ander Barrenetxea,Left Winger,23,Spain,€20.00m
t925,Toti,Centre-Back,26,Portugal,€20.00m
t926,Raheem Sterling,Right Winger,30,England,€22.00m
t927,Antoine Griezmann,Centre-Forward,33,France,€22.00m
t928,Nico Paz,Attacking Midfield,20,Argentina,€20.00m
t929,Vitor Roque,Centre-Forward,20,Brazil,€20.00m
t930,Patrick Dorgu,Left-Back,20,Denmark,€20.00m
t931,Jeanuël Belocian,Centre-Back,20,France,€20.00m
t932,Lamine Camara,Central Midfield,21,Senegal,€20.00m
t933,Habib Diarra,Central Midfield,21,Senegal,€20.00m
t934,Alex Scott,Central Midfield,21,England,€20.00m
t935,Javi Guerra,Central Midfield,21,Spain,€20.00m
t936,Ange-Yoan Bonny,Centre-Forward,21,France,€20.00m
t937,Dango Ouattara,Left Winger,23,Burkina Faso,€20.00m
t938,Vanderson,Right-Back,23,Brazil,€20.00m
t939,Rodrigo Muniz,Centre-Forward,23,Brazil,€20.00m
t940,Jacob Greaves,Centre-Back,24,England,€20.00m
t941,Johnny Cardoso,Defensive Midfield,23,United States,€20.00m
t942,Marcos Leonardo,Centre-Forward,21,Brazil,€20.00m
t943,Orri Óskarsson,Centre-Forward,20,Iceland,€20.00m
t944,El Bilal Touré,Centre-Forward,23,Mali,€20.00m
t945,Keane Lewis-Potter,Left Winger,24,England,€20.00m
t946,Beñat Prados,Central Midfield,24,Spain,€20.00m
t947,Conor Bradley,Right-Back,21,Northern Ireland,€20.00m
t948,Matteo Ruggeri,Left Midfield,22,Italy,€20.00m
t949,Ander Barrenetxea,Left Winger,23,Spain,€20.00m
t950,Toti,Centre-Back,26,Portugal,€20.00m
t951,Raheem Sterling,Right Winger,30,England,€22.00m
t952,Antoine Griezmann,Centre-Forward,33,France,€22.00m
t953,Nico Paz,Attacking Midfield,20,Argentina,€20.00m
t954,Vitor Roque,Centre-Forward,20,Brazil,€20.00m
t955,Patrick Dorgu,Left-Back,20,Denmark,€20.00m
t956,Jeanuël Belocian,Centre-Back,20,France,€20.00m
t957,Lamine Camara,Central Midfield,21,Senegal,€20.00m
t958,Habib Diarra,Central Midfield,21,Senegal,€20.00m
t959,Alex Scott,Central Midfield,21,England,€20.00m
t960,Javi Guerra,Central Midfield,21,Spain,€20.00m
t961,Ange-Yoan Bonny,Centre-Forward,21,France,€20.00m
t962,Dango Ouattara,Left Winger,23,Burkina Faso,€20.00m
t963,Vanderson,Right-Back,23,Brazil,€20.00m
t964,Rodrigo Muniz,Centre-Forward,23,Brazil,€20.00m
t965,Jacob Greaves,Centre-Back,24,England,€20.00m
t966,Johnny Cardoso,Defensive Midfield,23,United States,€20.00m
t967,Marcos Leonardo,Centre-Forward,21,Brazil,€20.00m
t968,Orri Óskarsson,Centre-Forward,20,Iceland,€20.00m
t969,El Bilal Touré,Centre-Forward,23,Mali,€20.00m
t970,Keane Lewis-Potter,Left Winger,24,England,€20.00m
t971,Beñat Prados,Central Midfield,24,Spain,€20.00m
t972,Conor Bradley,Right-Back,21,Northern Ireland,€20.00m
t973,Matteo Ruggeri,Left Midfield,22,Italy,€20.00m
t974,Ander Barrenetxea,Left Winger,23,Spain,€20.00m
t975,Toti,Centre-Back,26,Portugal,€20.00m
t976,Raheem Sterling,Right Winger,30,England,€22.00m
t977,Antoine Griezmann,Centre-Forward,33,France,€22.00m
t978,Nico Paz,Attacking Midfield,20,Argentina,€20.00m
t979,Vitor Roque,Centre-Forward,20,Brazil,€20.00m
t980,Patrick Dorgu,Left-Back,20,Denmark,€20.00m
t981,Jeanuël Belocian,Centre-Back,20,France,€20.00m
t982,Lamine Camara,Central Midfield,21,Senegal,€20.00m
t983,Habib Diarra,Central Midfield,21,Senegal,€20.00m
t984,Alex Scott,Central Midfield,21,England,€20.00m
t985,Javi Guerra,Central Midfield,21,Spain,€20.00m
t986,Ange-Yoan Bonny,Centre-Forward,21,France,€20.00m
t987,Dango Ouattara,Left Winger,23,Burkina Faso,€20.00m
t988,Vanderson,Right-Back,23,Brazil,€20.00m
t989,Rodrigo Muniz,Centre-Forward,23,Brazil,€20.00m
t990,Jacob Greaves,Centre-Back,24,England,€20.00m
t991,Johnny Cardoso,Defensive Midfield,23,United States,€20.00m
t992,Marcos Leonardo,Centre-Forward,21,Brazil,€20.00m
t993,Orri Óskarsson,Centre-Forward,20,Iceland,€20.00m
t994,El Bilal Touré,Centre-Forward,23,Mali,€20.00m
t995,Keane Lewis-Potter,Left Winger,24,England,€20.00m
t996,Beñat Prados,Central Midfield,24,Spain,€20.00m
t997,Conor Bradley,Right-Back,21,Northern Ireland,€20.00m
t998,Matteo Ruggeri,Left Midfield,22,Italy,€20.00m
t999,Ander Barrenetxea,Left Winger,23,Spain,€20.00m
t1000,Toti,Centre-Back,26,Portugal,€20.00m
