ID,name,position,age,nationality,market_value
t162,Piero Hincapié,Centre-Back,23,Ecuador,€40.00m
t163,Jhon Durán,Centre-Forward,21,Colombia,€40.00m
t164,Evan Ferguson,Centre-Forward,20,Ireland,€40.00m
t165,Roméo Lavia,Defensive Midfield,21,Belgium,€40.00m
t166,Matheus Nunes,Central Midfield,26,Portugal,€40.00m
t167,Johan Bakayoko,Right Winger,21,Belgium,€40.00m
t168,Edmond Tapsoba,Centre-Back,26,Burkina Faso,€40.00m
t169,Dani Vivian,Centre-Back,25,Spain,€40.00m
t170,Noni Madueke,Right Winger,22,England,€40.00m
t171,Morgan Rogers,Attacking Midfield,22,England,€40.00m
t172,Giorgi Mamardashvili,Goalkeeper,24,Georgia,€40.00m
t173,Conor Gallagher,Central Midfield,25,England,€40.00m
t174,Andrea Cambiaso,Left-Back,25,Italy,€40.00m
t175,Lucas Paquetá,Attacking Midfield,27,Brazil,€40.00m
t176,Morgan Gibbs-White,Attacking Midfield,25,England,€40.00m
t177,Takefusa Kubo,Right Winger,23,Japan,€40.00m
t178,Exequiel Palacios,Central Midfield,26,Argentina,€40.00m
t179,Éder Militão,Centre-Back,27,Brazil,€40.00m
t180,Nico Schlotterbeck,Centre-Back,25,Germany,€40.00m
t181,Diogo Costa,Goalkeeper,25,Portugal,€40.00m
t182,Diogo Dalot,Right-Back,25,Portugal,€40.00m
t183,Benjamin Pavard,Centre-Back,28,France,€40.00m
t184,Robin Le Normand,Centre-Back,28,Spain,€40.00m
t185,Joelinton,Central Midfield,28,Brazil,€40.00m
t186,Scott McTominay,Central Midfield,28,Scotland,€40.00m
t187,Manuel Akanji,Centre-Back,29,Switzerland,€40.00m
t188,Serhou Guirassy,Centre-Forward,28,Guinea,€40.00m
t189,David Raya,Goalkeeper,29,Spain,€40.00m
t190,Gregor Kobel,Goalkeeper,27,Switzerland,€40.00m
t191,João Palhinha,Defensive Midfield,29,Portugal,€40.00m
t192,Alejandro Grimaldo,Left-Back,29,Spain,€40.00m
t193,Marquinhos,Centre-Back,30,Brazil,€40.00m
t194,Hakan Çalhanoğlu,Defensive Midfield,31,Türkiye,€40.00m
t195,Ilya Zabarnyi,Centre-Back,22,Ukraine,€38.00m
t196,António Silva,Centre-Back,21,Portugal,€38.00m
t197,Charles De Ketelaere,Attacking Midfield,23,Belgium,€38.00m
t198,Sandro Tonali,Central Midfield,24,Italy,€38.00m
t199,Boubacar Kamara,Defensive Midfield,25,France,€38.00m
t200,Leon Bailey,Right Winger,27,Jamaica,€38.00m
t201,Heung-min Son,Left Winger,32,"Korea, South",€38.00m
t202,Santiago Gimenez,Centre-Forward,23,Mexico,€37.00m
t203,Francisco Conceição,Right Winger,22,Portugal,€36.00m
t204,Carlos Baleba,Defensive Midfield,21,Cameroon,€35.00m
t205,Hugo Larsson,Central Midfield,20,Sweden,€35.00m
t206,Alan Varela,Defensive Midfield,23,Argentina,€35.00m
t207,Evanilson,Centre-Forward,25,Brazil,€35.00m
t208,Malo Gusto,Right-Back,21,France,€35.00m
t209,Rayan Aït-Nouri,Left-Back,23,Algeria,€35.00m
t210,Harvey Elliott,Central Midfield,21,England,€35.00m
t211,Mateo Retegui,Centre-Forward,25,Italy,€35.00m
t212,Cheick Doucouré,Defensive Midfield,25,Mali,€35.00m
t213,Mason Greenwood,Right Winger,23,England,€35.00m
t214,Maximilian Kilman,Centre-Back,27,England,€35.00m
t215,Tino Livramento,Right-Back,22,England,€35.00m
t216,Karim Adeyemi,Right Winger,23,Germany,€35.00m
t217,Nico González,Right Winger,26,Argentina,€35.00m
t218,Khéphren Thuram,Central Midfield,23,France,€35.00m
t219,Ezri Konsa,Centre-Back,27,England,€35.00m
t220,Yves Bissouma,Defensive Midfield,28,Mali,€35.00m
t221,Dávid Hancko,Centre-Back,27,Slovakia,€35.00m
t222,Harvey Barnes,Left Winger,27,England,€35.00m
t223,Moussa Diaby,Right Winger,25,France,€35.00m
t224,Nayef Aguerd,Centre-Back,28,Morocco,€35.00m
t225,Rodrigo Bentancur,Defensive Midfield,27,Uruguay,€35.00m
t226,Mikel Oyarzabal,Centre-Forward,27,Spain,€35.00m
t227,Fabián Ruiz,Central Midfield,28,Spain,€35.00m
t228,Gianluigi Donnarumma,Goalkeeper,26,Italy,€35.00m
t229,Brahim Díaz,Right Winger,25,Morocco,€35.00m
t230,Brais Méndez,Attacking Midfield,28,Spain,€35.00m
t231,Guglielmo Vicario,Goalkeeper,28,Italy,€35.00m
t232,Kingsley Coman,Left Winger,28,France,€35.00m
t233,André Onana,Goalkeeper,28,Cameroon,€35.00m
t234,Julian Brandt,Attacking Midfield,28,Germany,€35.00m
t235,Mike Maignan,Goalkeeper,29,France,€35.00m
t236,Nathan Aké,Centre-Back,30,Netherlands,€35.00m
t237,Serge Gnabry,Left Winger,29,Germany,€35.00m
t238,Kevin De Bruyne,Attacking Midfield,33,Belgium,€35.00m
t239,Adam Wharton,Defensive Midfield,21,England,€32.00m
t240,Georgiy Sudakov,Attacking Midfield,22,Ukraine,€32.00m
t241,Jean-Clair Todibo,Centre-Back,25,France,€32.00m
t242,Jan Paul van Hecke,Centre-Back,24,Netherlands,€32.00m
t243,Georginio Rutter,Centre-Forward,22,France,€32.00m
t244,Jacob Ramsey,Left Midfield,23,England,€32.00m
t245,Ian Maatsen,Left-Back,22,Netherlands,€32.00m
t246,Mattéo Guendouzi,Central Midfield,25,France,€32.00m
t247,Angelo Stiller,Defensive Midfield,23,Germany,€32.00m
t248,Pedro Gonçalves,Left Winger,26,Portugal,€32.00m
t249,Quinten Timber,Central Midfield,23,Netherlands,€32.00m
t250,Lutsharel Geertruida,Right-Back,24,Netherlands,€32.00m
t251,Joey Veerman,Central Midfield,26,Netherlands,€32.00m
t252,Davide Frattesi,Central Midfield,25,Italy,€32.00m
t253,Emile Smith Rowe,Attacking Midfield,24,England,€32.00m
t254,Jerdy Schouten,Defensive Midfield,28,Netherlands,€32.00m
t255,Mason Mount,Attacking Midfield,26,England,€32.00m
